year,name,sex,n
1880,Jessie,F,635
1880,Jessie,M,154
1880,Jesus,M,18
1880,Jettie,F,9
1880,Jewel,F,5
1880,Jewel,M,5
1880,Jewell,F,8
1880,Jim,M,345
1880,Jimmie,F,15
1880,Jimmie,M,24
1880,Joan,F,12
1880,Joanna,F,26
1880,Jodie,M,5
1880,Joe,F,5
1880,Joe,M,731
1880,Joel,M,41
1880,Joella,F,6
1880,Joeseph,M,6
1880,Johanna,F,64
1880,Johannah,F,5
1880,John,F,46
1880,John,M,9655
1880,Johnie,M,18
1880,Johnnie,F,9
1880,Johnnie,M,24
1880,Johnny,M,20
1880,Johnson,M,13
1880,Jonah,M,8
1880,Jonas,M,28
1880,Jonathan,M,18
1880,Jones,M,9
1880,Jordan,M,23
1880,Jose,M,84
1880,Joseph,F,10
1880,Joseph,M,2632
1880,Josephine,F,544
1880,Josh,M,31
1880,Joshua,M,57
1880,Josiah,M,26
1880,Josie,F,141
1880,Josiephine,F,9
1880,Jossie,F,7
1880,Juan,M,39
1880,Juana,F,5
1880,Juanita,F,23
1880,Judd,M,5
1880,Judge,M,25
1880,Judith,F,5
1880,Judson,M,31
1880,Judy,F,5
1880,Jules,M,16
1880,Julia,F,783
1880,Julian,M,32
1880,Julie,F,22
1880,Juliet,F,10
1880,Julious,M,5
1880,Julius,M,143
1880,June,F,14
1880,June,M,9
1880,Junie,F,5
1880,Junious,M,6
1880,Junius,M,22
1880,Justice,M,5
1880,Justin,M,8
1880,Justus,M,11
1880,Karl,M,21
1880,Kate,F,299
1880,Katharine,F,76
1880,Katherine,F,502
1880,Katherine,M,5
1880,Katheryn,F,7
1880,Kathleen,F,21
1880,Kathrine,F,21
1880,Kathryn,F,204
1880,Kathryne,F,6
1880,Katie,F,303
1880,Kattie,F,8
1880,Katy,F,7
1880,Kelly,M,5
1880,Kenneth,M,32
1880,King,M,27
1880,Kirk,M,6
1880,Kit,M,5
1880,Kittie,F,38
1880,Kitty,F,9
1880,Kizzie,F,13
1880,Lacy,F,6
1880,Lacy,M,9
